x,y,z
-53.091,370.588,905.354
-48.036,374.417,914.926
-55.962,406.062,909.661
-55.005,433.131,884.746
-26.979,421.376,852.652
347,392.632,839.253
9,403.908,845.235
993,436.959,846.192
61.675,430.738,849.302
93.051,405.344,8.5361
82.014,383.061,8.5361
86.112,366.042,907.029
48.006,312.144,951.117
-9.721,319.801,959.013
-3.978,291.775,948.246
19.023,271.914,989.671
32.692,258.485,1.019.851
20.937,252.503,985.125
4.427,253.938,959.253
32.931,252.263,980.579
59.282,2.6016,1.039.741
87.547,285.314,1.034.956
161.785,3.0353,965.953
2.0683,258.724,887.378
139.292,2.3668,851.217
-1.585,192.862,952.314
-141.236,175.603,1.022.962
-155.593,228.544,9.0344
-42.532,1.9334,877.568
11.127,164.357,951.356
-34.636,171.775,999.033
-4.995,194.536,959.013
-3.739,224.955,992.782
48.485,259.681,1.009.562
72.443,291.775,1.017.458
53.031,315.015,1.002.383
52.792,344.716,967.628
93.051,380.907,927.159
141.446,449.641,864.407
160.588,473.839,798.036
124.905,413.719,825.105
79.621,358.385,8.5026
4.681,358.146,807.129
4.905,401.516,742.224
-41.336,444.138,718.266
-32.483,407.019,841.885
5.145,359.821,987.039
36.281,367.717,1.039.502
5.662,384.975,1.048.834
65.504,382.104,1.033.041
69.093,382.582,985.604
63.589,403.669,922.373
69.811,416.351,889.053
58.325,398.854,859.592
41.067,427.597,783.171
15.434,457.568,712.044
-30.329,414.437,779.342
-49.232,369.871,884.746
-38.943,387.847,941.516
7.537,4.3337,975.075
59.521,457.328,967.149
103.819,4.6331,915.883
98.554,456.371,847.388
7.005,446.291,815.773
35.324,433.849,810.479
-18.335,444.856,806.411
-76.062,446.531,8.1362
-11.321,408.694,881.157
-85.902,380.429,950.399
-52.851,398.136,975.554
-16.181,447.966,978.186
45.852,487.268,970.499
92.094,489.661,933.859
72.203,470.728,856.242
14.716,461.635,805.215
-3.344,447.966,783.889
-64.098,483.918,748.206
-85.902,516.491,711.566
-148.893,473.839,791.336
-15.344,4.602,8.6342
-90.927,479.103,893.869
-34.158,510.987,930.748
-9.242,515.055,942.473
-10.917,499.472,895.783
-27.936,494.208,828.694
-39.661,495.883,791.336
-44.925,490.858,762.114
-78.006,509.791,737.677
-135.494,511.466,744.856
-152.722,482.483,815.294
-108.903,461.396,881.157
-59.551,463.789,931.466
-34.158,4.8679,944.387
-20.728,493.968,936.012
-22.403,491.575,902.962
-41.815,495.883,861.506
-74.148,504.736,828.455
-99.781,498.754,797.318
-91.406,504.257,785.115
-74.148,514.577,799.711
-78.245,530.608,828.934
-77.767,5.2678,842.124
-66.491,4.9995,855.524
-55.005,492.772,8.4691
-44.925,511.227,834.198
-43.011,511.944,837.309
-59.073,523.669,833.001
-82.074,546.431,807.368
-68.166,558.395,790.619
-59.551,552.413,769.771
-78.963,540.688,7.6666
-97.866,521.516,786.311
-97.149,511.227,808.565
-75.583,5.1673,825.823
-58.594,531.087,824.148
-48.036,542.602,811.466
-52.134,542.124,803.061
-57.159,538.535,793.011
-42.293,541.645,796.122
-27.218,538.774,806.172
-28.415,541.167,814.337
-11.874,539.252,822.234
658,532.283,829.891
9.452,534.198,844.756
-15.464,536.381,857.199
-44.686,519.362,855.763
-26.261,489.901,8.5026
12.323,462.353,854.567
18.544,4.5012,864.407
-9.242,454.906,872.303
-21.206,4.669,885.943
-19.531,4.6666,890.997
-30.329,474.317,888.814
-29.372,476.471,8.7685
-20.967,472.642,872.303
-21.446,470.967,863.181
-25.065,476.949,851.217
-28.415,476.232,8.4356
-27.218,469.292,848.824
-19.771,464.028,870.868
-16.421,460.678,887.378
-12.114,467.139,896.022
5.384,470.967,884.507
17.348,471.924,855.524
20.698,480.539,834.676
10.648,491.097,819.602
682,4.9325,822.952
2.483,481.017,834.198
-6.371,468.574,849.302
-12.832,453.709,8.6031
-17.617,444.377,875.414
-25.783,446.531,888.814
-34.875,4.4677,889.053
-3.009,442.941,887.139
-15.224,432.652,884.507
-35,432.652,888.096
568,434.327,8.9025
9.691,437.677,897.697
12.323,430.977,891.476
-3.978,419.701,873.739
-23.629,417.548,865.843
-31.047,418.265,873.261
-29.372,418.026,889.771
-19.292,415.155,901.526
-24.586,414.198,902.962
-40.857,4.1683,897.219
-38.704,417.308,892.194
-24.347,413.958,899.372
-2.001,414.198,913.729
-28.415,409.891,910.379
-50.459,405.583,888.335
-58.594,393.111,863.181
-58.594,380.907,849.302
-6.673,383.061,847.867
-76.301,3.8665,864.646
-77.767,385.454,884.985
-65.773,388.325,900.808
-37.747,389.282,914.926
-11.635,401.007,932.423
5.145,415.394,927.877
9,431.695,908.944
3.709,432.413,8.8355
29.791,421.615,868.714
47.767,411.087,865.125
107.169,415.155,895.065
249.242,514.098,967.149
52.552,479.821,858.874
41.785,446.291,852.413
-6.338,383.061,837.578
-103.878,350.489,815.773
30.778,409.651,886.421
68.136,479.103,952.314
-71.994,447.966,902.722
-130.439,393.589,829.173
-78.006,356.949,841.645
57.129,382.104,9.1684
184.307,450.598,975.554
151.974,477.667,940.798
36.999,4.4342,855.285
24.526,402.951,8.4356
4.011,403.191,829.891
40.828,4.2329,7.7671
48.245,4.3002,862.463
35.324,451.556,935.055
41.785,430.499,9.6356
53.988,397.657,962.124
75.075,4.2005,934.098
65.743,4.1659,894.587
54.227,4.2664,864.886
59.521,4.2664,855.285
51.356,408.694,837.069
29.551,394.068,8.3348
27.159,395.504,879.961
39.392,404.866,915.404
48.245,412.523,902.244
4.992,414.198,889.293
65.025,414.198,901.765
7.675,4.0678,931.705
58.804,399.332,934.098
35.803,390.239,901.047
19.741,388.086,866.082
26.441,381.625,867.518
28.834,397.179,8.9674
27.398,403.669,904.397
37.717,399.093,917.079
49.202,386.411,937.927
76.271,397.897,948.964
99.512,417.787,977.947
91.137,4.1348,990.629
98.076,423.769,1.061.785
34.606,407.498,1.078.326
-58.355,385.215,1.108.026
-68.883,424.008,1.221.087
-6.132,431.456,1.047.159
57.846,501.147,664.367
65.264,617.588,406.122
11.366,692.303,328.026
31.017,729.213,364.696
83.958,779.283,463.639
82.732,782.154,475.364
299.312,836.531,4.1022
155.324,8.6025,424.337
14.716,878.914,596.082
80.578,810.898,752.034
53.749,800.579,748.924
77.468,823.101,558.006
9.664,820.469,446.142
99.033,832.463,434.148
8.345,839.881,426.251
94.008,874.607,475.125
118.445,8.9019,459.781
87.547,859.053,381.207
60.718,838.924,347.438
56.142,838.445,344.088
82.971,871.735,345.045
111.027,902.872,411.177
115.095,9.0694,482.782
82.253,907.657,475.843
65.743,9.0694,4.701
82.732,909.093,462.174
88.265,897.847,448.056
66.461,901.675,495.494
25.244,911.516,527.109
40.588,907.897,388.176
102.144,8.9354,245.145
139.531,909.093,237.248
145.274,923.001,214.008
169.472,917.976,200.369
269.342,953.181,135.912
236.291,986.471,81.296
132.562,980.968,82.253
160.349,947.438,79.382
171.386,939.303,48.245
149.342,945.045,568
151.974,958.924,19.262
166.122,971.636,54.945
185.982,982.403,38.674
208.265,967.089,7.747
188.614,986.471,4.636
158.674,1.001.336,-7.807
149.821,1.003.729,-66.969
177.847,985.993,-6.338
189.811,974.507,-112.971
211.855,954.138,-106.989
1.9654,949.352,-64.816
190.289,954.377,-171.655
202.044,911.755,-18.006
212.094,938.345,-100.768
170.429,985.753,-203.031
175.214,951.027,-251.426
192.473,877.717,-229.143
186.461,920.609,-267.009
195.583,963.231,-292.642
191.755,9.4361,-270.598
211.855,892.583,-287.139
172.582,910.559,-251.426
142.642,954.377,-225.314
150.778,942.174,-28.352
191.755,929.462,-30.341
201.805,926.351,-27.347
2.0324,899.283,-327.368
2.1329,860.728,-458.644
212.812,878.435,-404.267
